employee_id,date,check_in,check_out,working_hours,late,status
EMP001,2025-01-01,09:03:00,17:42:00,8.65,No,Present
EMP001,2025-01-02,09:19:00,18:23:48,9.08,Yes,Present
EMP001,2025-01-03,09:25:00,17:16:36,7.86,Yes,Present
EMP001,2025-01-06,09:00:00,18:08:24,9.14,No,Present
EMP001,2025-01-07,09:04:00,16:23:12,7.32,No,Present
EMP001,2025-01-08,09:22:00,18:23:12,9.02,Yes,Present
EMP001,2025-01-09,09:34:00,19:20:48,9.78,Yes,Present
EMP001,2025-01-10,09:04:00,18:49:36,9.76,No,Present
EMP001,2025-01-13,09:30:00,16:46:48,7.28,Yes,Present
EMP001,2025-01-14,09:26:00,17:06:12,7.67,Yes,Present
EMP001,2025-01-15,09:08:00,18:19:24,9.19,No,Present
EMP001,2025-01-16,09:26:00,17:36:12,8.17,Yes,Present
EMP001,2025-01-17,09:24:00,17:46:12,8.37,Yes,Present
EMP001,2025-01-20,09:24:00,17:34:48,8.18,Yes,Present
EMP001,2025-01-21,09:34:00,17:07:00,7.55,Yes,Present
EMP001,2025-01-22,09:22:00,16:52:36,7.51,Yes,Present
EMP001,2025-01-23,09:34:00,17:47:12,8.22,Yes,Present
EMP001,2025-01-24,09:08:00,18:13:24,9.09,No,Present
EMP001,2025-01-27,09:14:00,18:36:12,9.37,No,Present
EMP001,2025-01-28,09:01:00,18:45:24,9.74,No,Present
EMP001,2025-01-29,09:29:00,18:26:00,8.95,Yes,Present
EMP001,2025-01-30,09:34:00,17:52:00,8.3,Yes,Present
EMP001,2025-01-31,09:24:00,18:44:24,9.34,Yes,Present
EMP001,2025-02-04,09:15:00,17:39:00,8.4,No,Present
EMP001,2025-02-05,09:09:00,17:04:12,7.92,No,Present
EMP001,2025-02-06,09:07:00,16:23:48,7.28,No,Present
EMP001,2025-02-07,09:26:00,18:14:00,8.8,Yes,Present
EMP001,2025-02-11,09:01:00,16:50:48,7.83,No,Present
EMP001,2025-02-12,09:04:00,16:31:36,7.46,No,Present
EMP001,2025-02-13,09:02:00,17:23:36,8.36,No,Present
EMP001,2025-02-14,09:03:00,16:53:24,7.84,No,Present
EMP001,2025-02-17,09:02:00,17:17:00,8.25,No,Present
EMP001,2025-02-18,09:14:00,17:50:00,8.6,No,Present
EMP001,2025-02-19,09:03:00,16:36:36,7.56,No,Present
EMP001,2025-02-20,09:18:00,17:06:36,7.81,Yes,Present
EMP001,2025-02-21,09:20:00,18:02:00,8.7,Yes,Present
EMP001,2025-02-24,09:20:00,17:09:12,7.82,Yes,Present
EMP001,2025-02-25,09:09:00,18:54:36,9.76,No,Present
EMP001,2025-02-26,09:33:00,17:19:12,7.77,Yes,Present
EMP001,2025-02-27,09:19:00,17:14:12,7.92,Yes,Present
EMP001,2025-02-28,09:35:00,19:15:12,9.67,Yes,Present
EMP002,2025-01-01,09:11:00,18:00:48,8.83,No,Present
EMP002,2025-01-02,09:27:00,18:06:00,8.65,Yes,Present
EMP002,2025-01-03,09:03:00,18:46:48,9.73,No,Present
EMP002,2025-01-06,09:24:00,18:38:24,9.24,Yes,Present
EMP002,2025-01-07,09:20:00,18:20:36,9.01,Yes,Present
EMP002,2025-01-08,09:26:00,17:01:24,7.59,Yes,Present
EMP002,2025-01-09,09:24:00,17:04:48,7.68,Yes,Present
EMP002,2025-01-10,09:34:00,17:59:48,8.43,Yes,Present
EMP002,2025-01-13,09:14:00,17:12:48,7.98,No,Present
EMP002,2025-01-14,09:09:00,18:27:00,9.3,No,Present
EMP002,2025-01-15,09:03:00,17:42:36,8.66,No,Present
EMP002,2025-01-16,09:26:00,18:05:00,8.65,Yes,Present
EMP002,2025-01-17,09:08:00,17:20:36,8.21,No,Present
EMP002,2025-01-20,09:16:00,16:59:48,7.73,Yes,Present
EMP002,2025-01-21,09:05:00,18:41:00,9.6,No,Present
EMP002,2025-01-22,09:23:00,16:49:24,7.44,Yes,Present
EMP002,2025-01-23,09:12:00,16:31:48,7.33,No,Present
EMP002,2025-01-24,09:24:00,18:21:00,8.95,Yes,Present
EMP002,2025-01-27,09:02:00,18:30:12,9.47,No,Present
EMP002,2025-01-28,09:12:00,18:29:24,9.29,No,Present
EMP002,2025-01-29,09:35:00,17:20:36,7.76,Yes,Present
EMP002,2025-01-30,09:13:00,18:40:36,9.46,No,Present
EMP002,2025-01-31,09:21:00,17:20:24,7.99,Yes,Present
EMP002,2025-02-03,09:00:00,16:45:00,7.75,No,Present
EMP002,2025-02-04,09:12:00,18:54:00,9.7,No,Present
EMP002,2025-02-05,09:07:00,18:15:24,9.14,No,Present
EMP002,2025-02-06,09:30:00,19:04:48,9.58,Yes,Present
EMP002,2025-02-07,09:13:00,17:26:48,8.23,No,Present
EMP002,2025-02-10,09:15:00,17:53:24,8.64,No,Present
EMP002,2025-02-11,09:18:00,17:29:24,8.19,Yes,Present
EMP002,2025-02-12,09:34:00,18:27:24,8.89,Yes,Present
EMP002,2025-02-13,09:19:00,17:11:48,7.88,Yes,Present
EMP002,2025-02-14,09:32:00,19:02:00,9.5,Yes,Present
EMP002,2025-02-17,09:29:00,16:56:36,7.46,Yes,Present
EMP002,2025-02-18,09:30:00,18:40:48,9.18,Yes,Present
EMP002,2025-02-19,09:20:00,18:54:48,9.58,Yes,Present
EMP002,2025-02-20,09:23:00,17:23:36,8.01,Yes,Present
EMP002,2025-02-21,09:02:00,17:41:36,8.66,No,Present
EMP002,2025-02-24,09:14:00,18:21:48,9.13,No,Present
EMP002,2025-02-25,09:01:00,16:53:48,7.88,No,Present
EMP002,2025-02-26,09:26:00,17:24:12,7.97,Yes,Present
EMP002,2025-02-27,09:12:00,17:15:36,8.06,No,Present
EMP002,2025-02-28,09:24:00,18:04:48,8.68,Yes,Present
EMP003,2025-01-01,09:15:00,17:45:00,8.5,No,Present
EMP003,2025-01-02,09:21:00,17:13:12,7.87,Yes,Present
EMP003,2025-01-03,09:31:00,19:13:36,9.71,Yes,Present
EMP003,2025-01-06,09:31:00,17:55:00,8.4,Yes,Present
EMP003,2025-01-07,09:22:00,17:00:24,7.64,Yes,Present
EMP003,2025-01-08,09:34:00,18:02:12,8.47,Yes,Present
EMP003,2025-01-09,09:34:00,19:20:12,9.77,Yes,Present
EMP003,2025-01-10,09:03:00,17:36:36,8.56,No,Present
EMP003,2025-01-13,09:04:00,18:43:36,9.66,No,Present
EMP003,2025-01-14,09:03:00,18:14:24,9.19,No,Present
EMP003,2025-01-15,09:26:00,16:59:36,7.56,Yes,Present
EMP003,2025-01-16,09:14:00,16:36:48,7.38,No,Present
EMP003,2025-01-17,09:09:00,16:22:12,7.22,No,Present
EMP003,2025-01-20,09:32:00,17:55:24,8.39,Yes,Present
EMP003,2025-01-21,09:03:00,17:51:36,8.81,No,Present
EMP003,2025-01-22,09:30:00,18:24:36,8.91,Yes,Present
EMP003,2025-01-23,09:01:00,16:14:12,7.22,No,Present
EMP003,2025-01-27,09:35:00,17:51:12,8.27,Yes,Present
EMP003,2025-01-28,09:01:00,17:35:48,8.58,No,Present
EMP003,2025-01-29,09:17:00,17:52:24,8.59,Yes,Present
EMP003,2025-01-30,09:18:00,16:32:24,7.24,Yes,Present
EMP003,2025-01-31,09:27:00,18:45:00,9.3,Yes,Present
EMP003,2025-02-03,09:11:00,16:39:48,7.48,No,Present
EMP003,2025-02-04,09:06:00,17:39:36,8.56,No,Present
EMP003,2025-02-05,09:15:00,16:57:00,7.7,No,Present
EMP003,2025-02-06,09:33:00,17:24:36,7.86,Yes,Present
EMP003,2025-02-07,09:22:00,17:16:00,7.9,Yes,Present
EMP003,2025-02-10,09:25:00,16:49:36,7.41,Yes,Present
EMP003,2025-02-11,09:25:00,17:48:24,8.39,Yes,Present
EMP003,2025-02-12,09:15:00,19:01:12,9.77,No,Present
EMP003,2025-02-13,09:14:00,17:12:48,7.98,No,Present
EMP003,2025-02-14,09:05:00,17:59:00,8.9,No,Present
EMP003,2025-02-17,09:02:00,16:28:24,7.44,No,Present
EMP003,2025-02-18,09:24:00,17:34:48,8.18,Yes,Present
EMP003,2025-02-19,09:30:00,16:51:00,7.35,Yes,Present
EMP003,2025-02-20,09:00:00,18:01:48,9.03,No,Present
EMP003,2025-02-21,09:05:00,17:35:00,8.5,No,Present
EMP003,2025-02-24,09:27:00,18:19:48,8.88,Yes,Present
EMP003,2025-02-25,09:21:00,18:01:12,8.67,Yes,Present
EMP003,2025-02-26,09:06:00,18:37:48,9.53,No,Present
EMP003,2025-02-27,09:02:00,16:50:00,7.8,No,Present
EMP003,2025-02-28,09:30:00,17:24:00,7.9,Yes,Present
EMP004,2025-01-01,09:04:00,18:02:48,8.98,No,Present
EMP004,2025-01-02,09:17:00,18:49:24,9.54,Yes,Present
EMP004,2025-01-03,09:02:00,16:42:12,7.67,No,Present
EMP004,2025-01-06,09:20:00,16:34:24,7.24,Yes,Present
EMP004,2025-01-07,09:13:00,17:56:48,8.73,No,Present
EMP004,2025-01-08,09:25:00,19:02:12,9.62,Yes,Present
EMP004,2025-01-09,09:19:00,16:56:12,7.62,Yes,Present
EMP004,2025-01-10,09:15:00,17:55:12,8.67,No,Present
EMP004,2025-01-13,09:24:00,18:21:36,8.96,Yes,Present
EMP004,2025-01-14,09:34:00,17:37:36,8.06,Yes,Present
EMP004,2025-01-15,09:08:00,18:23:36,9.26,No,Present
EMP004,2025-01-16,09:05:00,17:35:00,8.5,No,Present
EMP004,2025-01-17,09:22:00,16:42:24,7.34,Yes,Present
EMP004,2025-01-20,09:27:00,17:15:00,7.8,Yes,Present
EMP004,2025-01-21,09:04:00,17:09:24,8.09,No,Present
EMP004,2025-01-22,09:25:00,19:08:12,9.72,Yes,Present
EMP004,2025-01-23,09:20:00,16:36:48,7.28,Yes,Present
EMP004,2025-01-28,09:17:00,18:31:24,9.24,Yes,Present
EMP004,2025-01-29,09:28:00,17:56:48,8.48,Yes,Present
EMP004,2025-01-30,09:22:00,18:00:24,8.64,Yes,Present
EMP004,2025-01-31,09:24:00,17:43:12,8.32,Yes,Present
EMP004,2025-02-04,09:24:00,16:49:12,7.42,Yes,Present
EMP004,2025-02-05,09:18:00,18:34:12,9.27,Yes,Present
EMP004,2025-02-06,09:04:00,16:28:36,7.41,No,Present
EMP004,2025-02-07,09:09:00,17:20:24,8.19,No,Present
EMP004,2025-02-10,09:09:00,18:16:12,9.12,No,Present
EMP004,2025-02-11,09:20:00,17:28:24,8.14,Yes,Present
EMP004,2025-02-12,09:05:00,16:17:36,7.21,No,Present
EMP004,2025-02-13,09:19:00,17:40:36,8.36,Yes,Present
EMP004,2025-02-14,09:17:00,16:45:12,7.47,Yes,Present
EMP004,2025-02-17,09:05:00,16:46:24,7.69,No,Present
EMP004,2025-02-18,09:28:00,18:07:00,8.65,Yes,Present
EMP004,2025-02-19,09:32:00,17:47:36,8.26,Yes,Present
EMP004,2025-02-20,09:01:00,16:26:48,7.43,No,Present
EMP004,2025-02-21,09:35:00,17:01:24,7.44,Yes,Present
EMP004,2025-02-24,09:20:00,18:47:00,9.45,Yes,Present
EMP004,2025-02-25,09:00:00,16:57:36,7.96,No,Present
EMP004,2025-02-26,09:24:00,18:37:48,9.23,Yes,Present
EMP004,2025-02-27,09:35:00,19:08:00,9.55,Yes,Present
EMP004,2025-02-28,09:15:00,17:56:24,8.69,No,Present
EMP005,2025-01-01,09:10:00,18:08:48,8.98,No,Present
EMP005,2025-01-02,09:10:00,16:43:36,7.56,No,Present
EMP005,2025-01-03,09:19:00,17:13:00,7.9,Yes,Present
EMP005,2025-01-06,09:09:00,16:30:36,7.36,No,Present
EMP005,2025-01-07,09:27:00,17:22:12,7.92,Yes,Present
EMP005,2025-01-08,09:19:00,17:46:36,8.46,Yes,Present
EMP005,2025-01-09,09:04:00,17:12:24,8.14,No,Present
EMP005,2025-01-10,09:15:00,18:19:12,9.07,No,Present
EMP005,2025-01-13,09:31:00,18:15:24,8.74,Yes,Present
EMP005,2025-01-14,09:12:00,17:35:24,8.39,No,Present
EMP005,2025-01-15,09:08:00,17:07:24,7.99,No,Present
EMP005,2025-01-16,09:25:00,17:28:36,8.06,Yes,Present
EMP005,2025-01-17,09:24:00,18:41:24,9.29,Yes,Present
